name,age,club,positions,nationality,rating_merged,goals_p90_merged,assists_p90_merged,xg_per_90_merged,shots_p90_merged,key_passes_p90_merged,passes_p90_merged,accurate_crosses_p90_merged,interceptions_p90_merged,tackles_p90_merged,blocks_p90_merged,dribbles_won_p90_merged,aerial_won_p90_merged,pass_success_pct_merged,dispossessed_p90_merged,turnovers_p90_merged,goals_p90_pct_merged,assists_p90_pct_merged,xg_per_90_pct_merged,key_passes_p90_pct_merged,tackles_p90_pct_merged,interceptions_p90_pct_merged,pass_success_pct_pct_merged,dribbles_won_p90_pct_merged,aerial_won_p90_pct_merged
João Victor,28,Mirassol,D(C),br,6.81911764705882,0.0588235294117647,0.0294117647058824,0.0721441176470588,0.411764705882353,0.117647058823529,50.5294117647059,0,1,0.705882352941177,1.35294117647059,0.0588235294117647,2.11764705882353,91.3271245634459,0.0588235294117647,0.411764705882353,0.42443729903537,0.356913183279743,0.456591639871383,0.045016077170418,0.102893890675241,0.684887459807074,0.951768488745981,0.0353697749196141,0.794212218649518
Joaquín Correa,31,Inter,"AM(CL),FW",ar,6.53549326595051,0.401122482667547,0.0916143941895015,0.157165731264444,2.56272697259822,0.742819412347309,13.618355893034,0,0.148563882469462,0.594255529877847,0.0495212941564873,0.693298118190822,0.534829976890063,81.175505467351,0.792340706503797,1.43611753053813,0.892830453157548,0.579012013707394,0.445025414982496,0.416859249477275,0.13238097787454,0.0760486468640975,0.463392617213375,0.42249248257832,0.21494335959633
Joaquín Panichelli,23,Strasbourg,FW,ar,7.13260869565217,0.601542416452442,0.0462724935732648,0.637177886977887,2.45244215938303,0.975578406169666,19.0237789203085,0,0.532133676092545,1.15295629820051,0.354755784061697,0.487789203084833,2.68380462724936,73.6714975845411,1.01992287917738,3.05976863753213,0.973958333333333,0.333333333333333,0.984375,0.567708333333333,0.255208333333333,0.223958333333333,0.0625,0.442708333333333,0.911458333333333
Joaquín Piquerez,27,Palmeiras,"D(L),M(L)",uy,6.88415307009586,0.0878080275476165,0.077477671365544,0.0804794791778758,1.29064887549769,1.06790057032175,43.020768320241,0.80189389863338,1.05434197783278,1.90465942106962,0.255676315506295,0.612073603787797,0.779941891746476,83.9896840134341,0.475842031636716,1.08404175185624,0.473064650626397,0.483380967783077,0.478829443444688,0.584214050028994,0.65215338919577,0.637907942314709,0.557901418280971,0.436801107586567,0.347620088691505
Joaquin Seys,20,Club Brugge,D(LR),be,6.74639725400458,0.0741418764302059,0.0549199084668192,0.0336841647597254,0.378947368421053,0.926773455377574,56.8695652173913,0.469565217391304,1.21922196796339,2.51395881006865,0.249885583524027,0.42974828375286,1.07505720823799,87.3957823635524,0.366590389016018,0.981693363844394,0.455856108918611,0.356552566367484,0.171487655223653,0.507808346901367,0.80499906244799,0.706944613389219,0.867903483912042,0.335615027043606,0.419605244494681
Jobe Bellingham,20,Borussia Dortmund,"M(C),FW",gb-eng,6.80490936868756,0.114154727793696,0.0584527220630372,0.136063702005731,1.29833810888252,0.970315186246418,39.8640687679083,0.0446991404011461,1.04183381088825,1.70819484240688,0.3789111747851,0.757822349570201,1.40905444126074,86.2841544854412,1.45581661891117,1.96194842406877,0.52153492241316,0.421589781506177,0.573814794529729,0.569255304179168,0.599640530227055,0.556692440748988,0.805602161034022,0.629343339370715,0.560177828028005
Jochem Ritmeester van de Kamp,22,Telstar,"D(R),M(CLR)",nl,6.74452387840157,0.119026708684197,0.0474247042413597,0.0859501409258372,0.804360179779925,1.16079342154619,30.9584264539735,0.173931012486214,1.42403489581345,2.07977341080971,0.231099411290377,0.750830505086352,1.05543214341065,77.4292035605243,0.553449937220779,1.00675410086453,0.410700067289954,0.310828544354602,0.40796164543309,0.542975518083736,0.728835184411497,0.863630451639234,0.309909114603612,0.612873020902222,0.472658127234992
Joe Aribo,29,Southampton,"M(CLR),FW",ng,6.69304099988087,0.194329404268875,0.0573431028990124,0.0940586173940745,1.17553360942975,1.12057980248487,45.3448550493788,0.0852182223638101,0.674577891048105,2.18222363810131,0.257247531060847,1.24800892003823,1.516406498885,85.1851246587127,1.4789741956037,1.97992991398535,0.735083246198718,0.316911455072082,0.443942823486795,0.602734982984878,0.768405356536909,0.389925245581118,0.733459298996967,0.796890543575037,0.57317546875872
Joe Bryan,32,Millwall,"D(L),M(CL)",gb-eng,6.91987980156299,0.0463541418284134,0.0291859411512232,0.0335543039725309,0.74853354952549,1.23181839858839,37.2378272688254,1.47217320806905,1.83098860222233,2.61042491296676,0.449806857742382,0.606895893938671,1.52024416996519,75.2951324309035,0.537364681196051,1.06271162191807,0.287451530382162,0.249687739705455,0.184212047227898,0.733330362294505,0.890237662671279,0.964195193295643,0.283305289838835,0.534762497193421,0.564690044129722
Joe Gelhardt,23,Hull,"AM(CR),FW",gb-eng,6.9373733115421,0.376006838677053,0.132198369794238,0.283630085363064,2.66997363256559,1.0792588222546,24.0254283203101,0.454025548719554,0.367338093116775,1.37507976449908,0.0823530828226399,1.76083894193144,1.09984709296026,74.45094459609,1.84319202475408,2.28096367554812,0.902150184618989,0.589602713205606,0.724870825447931,0.6763489654649,0.437166530835809,0.188762462278872,0.295325852137267,0.906561935736321,0.379168542508568
Joe Gomez,28,Liverpool,D(CLR),gb-eng,6.64035786403543,0,0.0297929390734396,0.0283378519290928,0.718009831669894,0.680768657828095,67.6850886339937,0.208550573514077,1.17384179949352,2.10934008639952,0.397735736630419,0.598838075376136,2.08848502904812,86.3936775205615,0.454342320869954,1.0740354535975,0,0.219481980310642,0.132499101201291,0.3797423441698,0.671399916316182,0.726877431899492,0.757379773429267,0.442425761554313,0.795788964637806
Joe Newell,32,Hibernian,M(CL),gb-eng,6.86354483345346,0.0614286822306678,0.113782672768169,0.0266210967191499,0.782517645233848,1.62506786628403,42.5798495307531,1.11060265260219,0.883735360273016,1.91126968122237,0.460715116730009,0.73784223997518,1.24253470875669,79.4139514476245,0.608004343442178,1.30815171023036,0.35484403032643,0.61689862729808,0.101999746445645,0.805434387558122,0.67636983055621,0.590306749069648,0.722160585685427,0.625569391235284,0.347536733471533
Joe Rankin-Costello,26,Blackburn,"D(LR),M(CR)",gb-eng,6.65236154896746,0.112795812547613,0.187993020912688,0.0980557221143686,1.73617084019365,0.807264148625071,35.7297323864055,0.369350994028457,1.34249133757649,1.8865652569238,0.429066424200722,0.956552724055734,1.36350232226673,69.6325037888535,0.875826309193227,1.77598112697516,0.588160681206402,0.857035545794374,0.438786641797043,0.498016189352976,0.675898738288758,0.801996833818321,0.119735103998349,0.715025482665311,0.480229070303743
