competition_code,season_id,club_id,club_name,player_id,name,profile_url,position_detail,age,nationalities,market_value_text,market_value_eur,source_url
GB1,2025,31,Liverpool FC,502676,Giorgi Mamardashvili,https://www.transfermarkt.pt/giorgi-mamardashvili/profil/spieler/502676,Guarda-Redes,25,Geórgia,"28,00 M €",28000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,105470,Alisson,https://www.transfermarkt.pt/alisson/profil/spieler/105470,Guarda-Redes,33,Brasil,"17,00 M €",17000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,226049,Freddie Woodman,https://www.transfermarkt.pt/freddie-woodman/profil/spieler/226049,Guarda-Redes,29,Inglaterra,"3,00 M €",3000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,706815,Harvey Davies,https://www.transfermarkt.pt/harvey-davies/profil/spieler/706815,Guarda-Redes,22,Inglaterra,500 mil €,500000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,357119,Ibrahima Konaté,https://www.transfermarkt.pt/ibrahima-konate/profil/spieler/357119,Defesa Central,26,França|Mali,"50,00 M €",50000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,1086619,Giovanni Leoni,https://www.transfermarkt.pt/giovanni-leoni/profil/spieler/1086619,Defesa Central,19,Itália,"25,00 M €",25000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,139208,Virgil van Dijk,https://www.transfermarkt.pt/virgil-van-dijk/profil/spieler/139208,Defesa Central,34,Holanda|Suriname,"18,00 M €",18000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,256178,Joe Gomez,https://www.transfermarkt.pt/joe-gomez/profil/spieler/256178,Defesa Central,28,Inglaterra|Gâmbia,"15,00 M €",15000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,503679,Rhys Williams,https://www.transfermarkt.pt/rhys-williams/profil/spieler/503679,Defesa Central,25,Inglaterra|Jamaica,500 mil €,500000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,730861,Milos Kerkez,https://www.transfermarkt.pt/milos-kerkez/profil/spieler/730861,Lateral Esquerdo,22,Hungria|Sérvia,"40,00 M €",40000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,234803,Andrew Robertson,https://www.transfermarkt.pt/andrew-robertson/profil/spieler/234803,Lateral Esquerdo,32,Escócia,"10,00 M €",10000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,484547,Jeremie Frimpong,https://www.transfermarkt.pt/jeremie-frimpong/profil/spieler/484547,Lateral Direito,25,Holanda|Gana,"35,00 M €",35000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,624258,Conor Bradley,https://www.transfermarkt.pt/conor-bradley/profil/spieler/624258,Lateral Direito,22,Irlanda do Norte,"30,00 M €",30000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,633652,Calvin Ramsay,https://www.transfermarkt.pt/calvin-ramsay/profil/spieler/633652,Lateral Direito,22,Escócia,"1,50 M €",1500000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,478573,Ryan Gravenberch,https://www.transfermarkt.pt/ryan-gravenberch/profil/spieler/478573,Médio Defensivo,23,Holanda|Suriname,"90,00 M €",90000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,146310,Wataru Endo,https://www.transfermarkt.pt/wataru-endo/profil/spieler/146310,Médio Defensivo,33,Japão,"5,00 M €",5000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,864799,Stefan Bajcetic,https://www.transfermarkt.pt/stefan-bajcetic/profil/spieler/864799,Médio Defensivo,21,Espanha|Sérvia,"5,00 M €",5000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,534033,Alexis Mac Allister,https://www.transfermarkt.pt/alexis-mac-allister/profil/spieler/534033,Médio Centro,27,Argentina|Itália,"80,00 M €",80000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,433188,Curtis Jones,https://www.transfermarkt.pt/curtis-jones/profil/spieler/433188,Médio Centro,25,Inglaterra,"35,00 M €",35000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,1045123,Trey Nyoni,https://www.transfermarkt.pt/trey-nyoni/profil/spieler/1045123,Médio Centro,18,Inglaterra|Zimbabué,"6,00 M €",6000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,598577,Florian Wirtz,https://www.transfermarkt.pt/florian-wirtz/profil/spieler/598577,Médio Ofensivo,22,Alemanha,"110,00 M €",110000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,451276,Dominik Szoboszlai,https://www.transfermarkt.pt/dominik-szoboszlai/profil/spieler/451276,Médio Ofensivo,25,Hungria,"100,00 M €",100000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,434675,Cody Gakpo,https://www.transfermarkt.pt/cody-gakpo/profil/spieler/434675,Extremo Esquerdo,26,Holanda|Togo,"65,00 M €",65000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
